name,type,value,date
广西,,809,2014-05-01
广西,,816,2014-07-01
广西,,825,2014-09-01
广西,,832,2014-11-01
广西,,844,2015-01-01
广西,,854,2015-03-01
广西,,861,2015-05-01
广西,,867,2015-07-01
广西,,872,2015-09-01
广西,,879,2015-11-01
广西,,884,2016-01-01
广西,,885,2016-03-01
广西,,885,2016-05-01
广西,,889,2016-07-01
广西,,892,2016-09-01
广西,,895,2016-11-01
广西,,903,2017-01-01
广西,,913,2017-03-01
广西,,920,2017-05-01
广西,,923,2017-07-01
广西,,935,2017-09-01
广西,,938,2017-11-01
广西,,947,2018-01-01
广西,,951,2018-03-01
广西,,951,2018-05-01
广西,,957,2018-07-01
广西,,958,2018-09-01
广西,,959,2018-11-01
山西,,10,2005-01-01
山西,,28,2005-03-01
山西,,45,2005-05-01
山西,,65,2005-07-01
山西,,77,2005-09-01
山西,,91,2005-11-01
山西,,103,2006-01-01
山西,,113,2006-03-01
山西,,123,2006-05-01
山西,,136,2006-07-01
山西,,140,2006-09-01
山西,,152,2006-11-01
山西,,157,2007-01-01
山西,,176,2007-03-01
山西,,184,2007-05-01
山西,,192,2007-07-01
山西,,202,2007-09-01
山西,,216,2007-11-01
山西,,225,2008-01-01
山西,,239,2008-03-01
山西,,249,2008-05-01
山西,,262,2008-07-01
山西,,270,2008-09-01
山西,,283,2008-11-01
山西,,297,2009-01-01
山西,,309,2009-03-01
山西,,317,2009-05-01
山西,,328,2009-07-01
山西,,338,2009-09-01
山西,,344,2009-11-01
山西,,349,2010-01-01
山西,,362,2010-03-01
山西,,378,2010-05-01
山西,,388,2010-07-01
山西,,399,2010-09-01
山西,,410,2010-11-01
山西,,415,2011-01-01
山西,,422,2011-03-01
山西,,425,2011-05-01
山西,,431,2011-07-01
山西,,435,2011-09-01
山西,,440,2011-11-01
山西,,446,2012-01-01
山西,,451,2012-03-01
山西,,458,2012-05-01
山西,,465,2012-07-01
山西,,471,2012-09-01
山西,,478,2012-11-01
山西,,485,2013-01-01
山西,,486,2013-03-01
山西,,494,2013-05-01
山西,,500,2013-07-01
山西,,505,2013-09-01
山西,,510,2013-11-01
山西,,511,2014-01-01
山西,,517,2014-03-01
山西,,525,2014-05-01
山西,,530,2014-07-01
山西,,533,2014-09-01
山西,,539,2014-11-01
山西,,544,2015-01-01
山西,,551,2015-03-01
山西,,560,2015-05-01
山西,,566,2015-07-01
山西,,572,2015-09-01
山西,,576,2015-11-01
山西,,578,2016-01-01
山西,,579,2016-03-01
山西,,585,2016-05-01
山西,,592,2016-07-01
山西,,596,2016-09-01
山西,,601,2016-11-01
山西,,607,2017-01-01
山西,,609,2017-03-01
山西,,613,2017-05-01
山西,,619,2017-07-01
山西,,623,2017-09-01
山西,,626,2017-11-01
山西,,627,2018-01-01
山西,,628,2018-03-01
山西,,634,2018-05-01
山西,,635,2018-07-01
山西,,635,2018-09-01
山西,,635,2018-11-01
河北,,12,2005-01-01
河北,,31,2005-03-01
河北,,52,2005-05-01
河北,,74,2005-07-01
河北,,95,2005-09-01
河北,,113,2005-11-01
河北,,124,2006-01-01
河北,,135,2006-03-01
河北,,148,2006-05-01
河北,,158,2006-07-01
河北,,166,2006-09-01
河北,,177,2006-11-01
河北,,186,2007-01-01
河北,,199,2007-03-01
河北,,214,2007-05-01
河北,,222,2007-07-01
河北,,227,2007-09-01
河北,,240,2007-11-01
河北,,246,2008-01-01
河北,,257,2008-03-01
河北,,265,2008-05-01
河北,,269,2008-07-01
河北,,274,2008-09-01
河北,,282,2008-11-01
河北,,289,2009-01-01
河北,,301,2009-03-01
河北,,305,2009-05-01
河北,,318,2009-07-01
河北,,319,2009-09-01
